com_id,com_name,inves_round,invse_year,invse_month,invse_day,invse_detail_money,current,com_city,com_prov,scope,com_url,com_born_month,com_born_year,com_des,invst_firms
31139,酒便利,B轮,2016,1,5,40000,人民币,郑州,河南,电子商务,http://www.9bianli.com/,4,2010,酒便利是一家酒水直营连锁及O2O品牌，通过“呼叫中心+专业配送+电商平台+实体店”的模式为用户提供酒水服务，目前已开设连锁门店160余家，2014年开始大力拓展北京市场。,"常春藤资本Ivy Capital , 博观资本 , 联想控股 , "
31495,米多财富,B轮,2016,1,4,9800,人民币,西城区,北京,金融,https://www.miduo.com/,9,2014,米多财富是一家专注在线理财的互联网金融服务平台，通过独立理财顾问（IFA）为中产阶级提供真的财富管理。,"国科嘉和 , 昆吾九鼎投资 , "
3151,金山云,C轮,2016,5,9,5000,美元,海淀区,北京,企业服务,http://www.ksyun.com,2,2012,金山云2012年从金山软件拆分独立，是一家专业的云存储服务提供商，旗下有快盘、云服务平台等，隶属于北京金山云网络技术有限公司。,"金山软件 , IDG资本 , 小米科技 , DST , "
31576,杰睿教育,A轮,2016,1,8,26000,人民币,海淀区,北京,教育,http://www.jerryedu.com,11,2004,杰睿教育成立于2004年，前身是轻松英语，是一家以教辅研发、师资培训、企业培训、公益等业务为一体的集团化公司。,"上海交大产业投资管理集团 , 赛领资本 , "
31667,百世物流(百世汇通),战略投资,2016,9,8,76000,美元,杭州,浙江,物流,http://www.800best.com,4,2008,百世汇通是一家向客户提供综合供应链、快递、快运和软件服务的物流供应链服务提供商。百世物流科技（中国）有限公司旗下产品。,"鸿海集团Foxconn , 阿里巴巴 , 鼎晖投资 , 富士康 , 高盛集团(中国) , 汉能投资 , IDG资本 , 中信产业基金 , 菜鸟网络(阿里巴巴) , 软银中国 , 崇德投资 , 华登国际投资 , "
3171,深圳柔宇科技Royole,D轮,2016,11,3,50000,人民币,深圳,广东,硬件,http://www.royole.com,3,2012,深圳柔宇科技（Royole）致力于从事柔性显示背板技术的研究开发和产业化，产品有智能显示终端产品Royole-X等柔性显示、柔性传感、VR显示及相关智能设备。,"百润央银 , 松禾资本 , 深创投 , IDG资本 , 中信产业基金 , 基石资本 , 源政投资杨向阳 , "
3173,销售易,D轮,2017,1,12,28000,人民币,朝阳区,北京,企业服务,http://www.xiaoshouyi.com,7,2011,销售易是一个CRM销售管理工具及移动CRM客户关系管理系统，帮助销售人员管理从潜在客户、到销售项目跟进、再到业务分析的全流程，仁科互动（北京）信息科技有限公司旗下。,"经纬中国 , 腾讯 , 真格基金 , 云天使基金 , 红杉资本中国 , "
31806,鲁班软件,A轮,2016,1,12,30000,人民币,浦东新区,上海,企业服务,http://www.lubansoft.com,12,2001,鲁班软件是一家主打建筑信息技术领域的科技公司，是专注建造阶段BIM技术项目级、企业级解决方案研发和服务的供应商。,"筑+资本 , 长江会基金 , 稼沃资本 , 晨晖资本 , "
32112,氪空间,A+轮,2016,11,2,20000,人民币,海淀区,北京,房产服务,http://krspace.cn/,4,2014,氪空间是36氪旗下的创业孵化器，目前已经拆分独立运营，业务包含孵化器和联合办公空间。,"水木资本 , 御风投资冯仑 , 戈壁投资 , 普思资本 , ColonyCapital柯罗尼资本 , IDG资本 , 九合创投 , "
32164,明略数据,B轮,2016,8,10,20000,人民币,昌平区,北京,企业服务,http://www.mininglamp.com/,4,2014,明略数据是一家专注于关系挖掘的大数据行业应用解决方案提供商，以自主研发的大数据平台MDP为基础，围绕关系挖掘DataInsight、商业智能Discovery、数据关联分析SCOPA等核心产品，提供一,"天堂硅谷 , 分享投资 , 红杉资本中国 , "
32193,Adagene天演药业,B轮,2016,1,29,20000,人民币,苏州,江苏,医疗健康,http://www.adagene.com/,2,2012,天演药业致力于开发新一代治疗性和诊断用抗体技术的生物制药公司，利用其有自主产权的动态精准抗体技术(DPL)研发行业领先的新药。,"富达Fidelity Investments , 药明康德 , 金浦投资 , 斯道资本(富达亚洲) , "
3230,Solo桌面(赤子城),D轮,2016,10,21,--,人民币,朝阳区,北京,工具软件,http://newborn-town.com,6,2013,Solo桌面是一个主打海外市场的Android手机桌面工具，进而延伸为包括Solo搜索、Solo锁屏、Solo应用锁、Solo推荐、Solo消息等在内的整个Solo系统，赤子城网络技术(北京)有限公司,"梅花天使创投 , 明势资本 , 安芙兰创投 , 海通开元 , "
32566,丰顺路宝,A轮,2016,2,22,4500,美元,朝阳区,北京,汽车交通,http://www.lubaocar.com,6,2011,丰顺路宝是一家主打事故车残值拍卖的公司，为各保险公司提供保险减损解决方案。目前主营拍卖业务包括可修复事故车拍卖、企业二手车拍卖两大板块。,"君联资本 , 盛世投资 , 高桐资本 , "
32876,乐视云,A轮,2016,2,28,100000,人民币,海淀区,北京,企业服务,http://www.lecloud.com,7,2014,乐视云是一家云视频开放平台，提供乐视云盘等服务，乐视旗下云服务业务，2016年拆分独立发展。,"重庆市产业基金 , "
32927,CTG易才集团,D轮,2016,11,28,200000,人民币,朝阳区,北京,企业服务,http://www.ctghr.com/,3,2003,CTG易才集团是一家综合的人力资源外包服务商，为企业提供全国440个城市的社保公积金外包、劳务派遣、福利解决方案等，隶属于北京易才宏业管理顾问有限公司。,"华威国际集团CID , 阳光保险 , 钟鼎创投 , 嘉御基金 , 纪源资本GGV , "
3302,东软熙康网,B轮,2016,8,2,6400,美元,海淀区,北京,医疗健康,http://www.xikang.com/,8,2011,熙康是东软旗下专注于健康管理与服务的独立品牌，提供健康管理服务，隶属于东软熙康健康科技有限公司。,"高盛集团(中国) , 弘毅投资 , 深圳协同创新基金 , 东软集团Neusoft , "
33165,菜鸟网络,A轮,2016,3,14,1000000,人民币,杭州,浙江,物流,https://www.cainiao.com/,5,2013,菜鸟网络是一个大数据物流协同平台，阿里巴巴旗下产品，以数据为核心，通过社会化协同，打通了覆盖跨境、快递、仓配、农村、末端配送的全网物流链路，提供了大数据联通、数据赋能、数据基础产品等。菜鸟网络还打通跨,"Temasek淡马锡 , 春华资本Primavera , GIC新加坡政府投资公司 , "
33223,好租网,B轮,2016,11,15,--,人民币,海淀区,北京,房产服务,http://www.haozu.com,10,2015,好租网是一家商业办公租赁O2O平台，由58赶集独立孵化，提供写字楼、办公室出租服务。北京好租科技发展有限公司旗下产品。,"北极光创投 , 元生资本 , 黑洞投资 , JOY Capital愉悦资本 , 58同城 , "
3335,海豚供应链,B轮,2015,11,3,--,人民币,深圳,广东,电子商务,http://www.haitun.hk,1,2014,海豚供应链是一家主打海淘类产品的供应链贸易公司，致力于为中小海淘企业提供正品海淘货源，解决中小海淘企业的产品采购和代理发货问题。深圳市有棵树科技旗下产品，旗下四大业务板块包括“海豚供应链”(跨境电商进,"汤臣倍健 , 广发信德-广发证券 , 海通开元 , "
